DateTime,AddedIPs,RemovedIPs
1532416826,1,2
1532420667,4,3
1532422896,2,4
1532424742,1,0
1532426679,1,0
1532428577,0,1
1532430528,2,2
1532432418,2,0
1532436263,1,0
1532438204,0,1
1532440122,0,3
1532442266,1,3
1532444175,5,4
1532446105,4,1
1532448099,1,0
1532449982,4,0
1532451872,3,0
1532453795,3,2
1532455718,1,0
1532457621,2,0
1532461726,0,2
1532463618,1,1
1532465576,2,0
1532467461,2,0
1532469397,1,0
1532471302,2,1
1532473314,1,0
1532475154,2,0
1532477097,1,0
1532478980,2,0
1532480934,1,1
1532482836,3,1
1532484773,2,2
1532486746,2,2
1532488588,2,4
1532490504,1,0
1532492434,3,2
1532494372,1,2
1532496269,2,0
1532498489,3,5
1532500446,2,0
1532502266,1,2
1532504187,3,1
1532506117,3,4
1532508040,2,1
1532509957,4,1
1532511872,6,1
1532513788,3,1
1532515728,2,1
1532517622,4,1
1532519596,3,2
1532521465,4,1
1532523404,3,0
1532525297,2,0
1532527306,2,0
1532529167,5,1
1532531353,6,6
1532533250,1,3
1532535403,6,3
1532537319,2,3
1532539231,2,2
1532541159,0,3
1532544987,1,3
1532547021,2,0
1532548894,2,0
1532550802,1,2
1532552679,0,1
1532554645,0,2
1532556520,2,3
1532558500,1,1
1532560350,0,1
1532562305,0,3
1532566148,0,2
1532568021,1,3
1532569992,2,1
1532571897,1,2
1532573822,0,2
1532575721,0,2
1532577736,2,1
1532579567,0,3
1532581525,3,2
1532583406,1,2
1532585360,2,3
1532587240,0,1
1532589227,3,1
1532591061,0,3
1532593047,2,3
1532594904,4,3
1532597119,2,6
1532598988,1,2
1532600954,1,4
1532602886,4,4
1532604837,3,4
1532606684,2,4
1532608652,4,3
1532610545,3,1
1532612478,2,3
1532614354,1,4
1532616583,2,6
1532618441,7,3
1532620495,2,3
1532622518,2,2
1532624416,0,3
1532626369,2,1
1532628330,2,0
1532633597,1,4
1532635477,1,2
1532637671,3,1
1532639561,3,0
1532641510,1,0
1532643381,2,2
1532646406,4,1
1532648414,4,0
1532652266,4,0
1532656364,0,3
1532658275,0,1
1532660178,1,0
1532662133,1,0
1532664088,1,1
1532667890,2,2
1532669821,11,2
1532671724,0,1
1532673897,0,1
1532675790,2,3
1532677979,2,1
1532679877,2,3
1532681802,4,2
1532683961,2,2
1532685883,1,2
1532687778,1,2
1532689751,4,4
1532691639,2,2
1532693582,1,3
1532695469,2,4
1532697392,1,3
1532699323,2,2
1532701312,0,2
1532703344,0,4
1532705315,3,2
1532707219,1,3
1532709160,2,1
1532713232,4,2
1532715167,4,2
1532719000,2,0
1532720901,1,2
1532722833,2,1
1532724745,1,3
1532726688,3,2
1532728586,3,1
1532731570,2,5
1532733398,5,1
1532735442,0,4
1532737478,1,0
1532739300,1,4
1532741561,2,0
1532745381,2,0
1532747335,3,1
1532749242,2,2
1532751169,5,1
1532753074,2,2
1532755009,1,1
1532756918,3,2
1532758826,5,0
1532760759,1,1
1532762683,1,1
1532764592,0,3
1532766510,2,2
1532768509,3,4
1532770360,2,2
1532773073,4,2
1532774915,3,3
1532776815,2,2
1532778745,0,4
1532780656,1,6
1532782595,4,1
1532784494,2,1
1532786330,1,2
1532788426,2,0
1532790268,3,1
1532792175,4,2
1532794146,3,2
1532796038,0,1
1532797942,1,0
1532799855,0,4
1532801803,1272,3
1532803698,2689,0
1532805637,2,1
1532807780,1,1
1532810106,1,0
1532811919,1,0
1532813820,2,0
1532815717,4,0
1532817662,1,2
1532819597,2,2
1532821471,2,0
1532823419,1,1
1532826101,2,2
1532827962,0,1
1532829866,2,0
1532831795,1,1
1532833695,2,3
1532835863,1,0
1532837787,1,4
1532839725,0,1
1532841629,0,1
1532843565,1,1
1532845459,2,1
1532849297,1,1
1532851305,1,0
1532853169,2,1
1532855070,0,1
1532856984,1,2
1532858921,1,2
1532860834,1,2
1532862765,0,2
1532866610,1,0
1532868496,1,3
1532870452,0,2
1532872342,2,0
1532874265,1,1
1532876090,0,3
1532878368,4,2
1532880267,0,3
1532882187,4,0
1532884156,3,0
1532886022,3,0
1532887961,1,595
1532889863,2,3394
1532891787,0,2
1532893719,1,2
1532895975,1,1
1532897818,4,1
1532899689,1,1
1532901878,1,5
1532903776,1,2
1532905735,2,2
1532907618,2,1
1532909565,3,2
1532911457,2,2
1532913394,3,0
1532915310,0,1
1532917472,2,1
1532919699,0,3
1532921546,1,1
1532923479,3,1
1532925374,3,0
1532929216,2,0
1532931138,5,3
1532933077,1,0
1532934976,1,1
1532936919,1,0
1532938823,1,3
1532942665,1,1
1532944585,0,1
1532946503,1,1
1532948421,2,0
1532950339,1,0
1532952280,0,1
1532956122,0,1
1532958017,2,1
1532960201,1,3
1532962112,1,0
1532964025,3,1
1532965964,0,4
1532967872,0,2
1532969808,4,4
1532971726,1,3
1532973694,1,2
1532975554,2,1
1532977472,2,1
1532981323,2,1
1532983264,1,1
1532985153,4,4
1532987100,1,1
1532988984,2,1
1532990925,1,0
1532992851,1,3
1532994773,1,2
1532996681,0,3
1532998610,1,3
1533000519,2,2
1533002499,2,0
1533004361,1,1
1533006278,2,0
1533008219,1,1
1533010125,1,3
1533012028,0,3
1533013978,1,0
1533015870,2,3
1533017813,2,5
1533019712,1,0
1533021634,0,1
1533023595,2,1
1533025531,2,1
1533027403,2,0
1533029314,0,1
1533031312,2,0
1533033422,2,2
1533035328,1,1
1533037249,2,1
1533039177,1,0
1533041071,3,0
1533043021,1,0
1533044934,1,2
1533046822,0,1
1533049019,2,1
1533050906,2,3
1533054791,1,1
1533056924,2,3
1533058818,1,2
1533060777,2,0
1533062658,2,2
1533064596,2,2
1533067164,1,1
1533069170,1,2
1533071072,1,3
1533073229,1,1
1533075319,2,3
1533077318,1,1
1533079215,0,1
1533081134,2,1
1533083074,2,0
1533084976,2,1
1533086795,1,2
1533088596,0,2
1533090624,2,1
1533092511,1,2
1533094499,3,1
1533096512,1,2
1533098333,2,0
1533100341,2,1
1533102171,3,2
1533103975,1,2
1533105965,3,1
1533109807,0,2
1533111644,1,1
1533113626,0,2
1533115485,1,1
1533117446,0,1
