DateTime,AddedIPs,RemovedIPs
1532469408,19,22
1532471310,16,29
1532473321,9,27
1532475164,10,21
1532477110,20,17
1532478988,15,17
1532480944,10,26
1532482847,24,13
1532484781,18,20
1532486754,14,24
1532488596,20,12
1532490512,19,16
1532492448,18,24
1532494382,29,18
1532496277,20,13
1532498501,12,27
1532500457,15,15
1532502275,10,17
1532504195,13,19
1532506128,9,12
1532508051,17,13
1532509965,16,23
1532511879,16,36
1532513796,19,19
1532515739,29,22
1532517631,15,16
1532519604,15,24
1532521473,11,17
1532523413,20,12
1532525305,13,24
1532527316,21,23
1532529175,22,16
1532531363,254,26
1532533258,12,22
1532535412,19,31
1532537327,27,32
1532539239,52,27
1532541167,28,19
1532543088,46,18
1532544995,32,14
1532547029,32,15
1532548904,23,22
1532550813,33,17
1532552686,24,15
1532554656,37,15
1532556536,25,20
1532558519,25,17
1532560361,34,17
1532562317,31,13
1532564205,19,20
1532566160,18,16
1532568032,21,14
1532570004,22,25
1532571918,24,10
1532573839,17,21
1532575729,22,18
1532577750,17,20
1532579578,15,27
1532581537,57,24
1532583414,21,11
1532585370,16,14
1532587247,11,9
1532589235,15,11
1532591069,12,10
1532593055,15,27
1532594911,21,13
1532597127,17,36
1532598999,13,13
1532600962,11,16
1532602901,13,19
1532604846,17,18
1532606696,10,19
1532608661,26,17
1532610556,20,14
1532612488,13,17
1532614366,10,17
1532616598,18,19
1532618449,12,958
1532620504,10,602
1532622527,11,21
1532624461,16,24
1532626377,8,25
1532628338,21,21
1532630202,16,23
1532633605,29,35
1532635484,14,18
1532637679,20,22
1532639569,14,22
1532641518,13,35
1532643389,20,26
1532646416,26,30
1532648422,14,26
1532650259,13,17
1532652273,15,16
1532654112,13,21
1532656372,18,13
1532658282,15,24
1532660186,15,27
1532662141,11,26
1532664103,20,14
1532666011,14,17
1532667898,15,62
1532669829,11,29
1532671739,14,17
1532673907,22,14
1532675798,11,12
1532677992,16,19
1532679885,16,27
1532681810,18,21
1532683969,18,19
1532685892,10,15
1532687789,12,18
1532689765,13,12
1532691665,10,14
1532693591,28,19
1532695480,9,28
1532697400,7,18
1532699331,18,24
1532701323,7,21
1532703356,14,23
1532705323,17,10
1532707229,17,13
1532709171,29,15
1532711353,40,26
1532713240,22,19
1532715176,29,17
1532717083,32,25
1532719009,23,20
1532720912,22,22
1532722841,31,22
1532724757,25,23
1532726701,33,15
1532728593,23,15
1532731582,35,26
1532733409,20,17
1532735450,20,11
1532737489,22,22
1532739308,9,12
1532741570,12,24
1532743493,23,13
1532745389,6,14
1532747349,11,18
1532749250,17,15
1532751177,13,10
1532753086,18,13
1532755017,45,14
1532756926,20,14
1532758834,17,18
1532760767,11,14
1532762691,16,12
1532764614,13,16
1532766521,12,13
1532768517,12,22
1532770368,18,11
1532773082,17,12
1532774926,12,37
1532776823,10,14
1532778752,7,15
1532780668,21,28
1532782602,17,8
1532784500,12,17
1532786337,13,17
1532788433,15,14
1532790275,10,15
1532792182,10,30
1532794153,11,16
1532796049,14,25
1532797950,40,16
1532799862,14,10
1532801810,18,6
1532803707,12,20
1532805648,16,12
1532807791,11,12
1532810113,16,18
1532811931,12,15
1532813827,18,21
1532815726,7,14
1532817670,13,21
1532819604,12,17
1532821478,18,10
1532823430,19,22
1532826110,17,18
1532827969,12,11
1532829877,46,22
1532831803,15,8
1532833703,11,17
1532835870,14,9
1532837794,13,22
1532839740,15,18
1532841650,16,43
1532843573,12,9
1532845466,14,14
1532847420,11,12
1532849312,9,16
1532851313,11,15
1532853176,11,11
1532855082,10,16
1532856994,12,19
1532858941,26,16
1532860841,11,14
1532862772,12,17
1532864668,44,13
1532866617,41,21
1532868509,43,15
1532870463,39,18
1532872352,36,16
1532874272,32,20
1532876102,31,9
1532878379,15,18
1532880275,11,16
1532882194,10,18
1532884164,20,42
1532886035,11,21
1532887968,7,44
1532889870,18,24
1532891798,6,24
1532893726,10,19
1532895982,13,14
1532897829,15,14
1532899696,15,22
1532901888,15,14
1532903784,14,16
1532905749,10,23
1532907625,18,12
1532909572,10,25
1532911464,6,11
1532913401,16,16
1532915317,14,42
1532917484,10,18
1532919730,19,20
1532921561,8,15
1532923487,11,10
1532925381,7,17
1532927350,17,9
1532929225,11,20
1532931150,20,17
1532933086,18,8
1532934984,4,8
1532936926,10,15
1532938831,7,11
1532940747,11,18
1532942673,17,6
1532944592,13,22
1532946511,401,17
1532948432,389,11
1532950351,7,11
1532952287,9,12
1532954207,10,8
1532956153,6,15
1532958024,9,10
1532960209,7,10
1532962120,10,14
1532964033,17,9
1532965976,8,11
1532967882,13,4
1532969815,18,29
1532971738,46,13
1532973702,35,11
1532975567,35,14
1532977480,12,7
1532979411,24,8
1532981352,14,4
1532983271,14,7
1532985174,19,12
1532987113,11,13
1532988996,24,12
1532990937,17,12
1532992859,10,15
1532994781,17,10
1532996689,14,5
1532998618,10,11
1533000532,12,14
1533002513,7,6
1533004369,21,11
1533006286,17,12
1533008226,15,6
1533010135,7,6
1533012035,8,3
1533013985,2,17
1533015877,13,17
1533017826,15,11
1533019719,10,13
1533021642,13,6
1533023603,11,7
1533025539,7,7
1533027411,7,12
1533029321,14,9
1533031320,20,12
1533033435,35,834
1533035336,25,136
1533037258,23,15
1533039184,17,14
1533041086,19,10
1533043029,17,13
1533044946,27,13
1533046834,14,15
1533049027,22,13
1533050914,27,8
1533052779,13,14
1533054798,15,16
1533056940,23,23
1533058831,19,54
1533060784,18,16
1533062665,11,3
1533064603,19,13
1533067171,19,11
1533069182,20,9
1533071080,17,5
1533073243,22,16
1533075327,19,18
1533077325,22,11
1533079228,19,10
1533081141,44,15
1533083085,20,8
1533084984,16,4
1533086803,17,10
1533088837,19,13
1533091015,15,21
1533092953,11,20
1533094823,24,11
1533096742,17,16
1533098696,14,5
1533100602,10,4
1533102510,11,17
1533104423,20,17
1533106372,20,17
1533108262,14,11
1533110223,15,13
1533112124,2988,7
1533114088,4743,3
1533115949,11,14
1533117892,14,13
